timestamp,index_gpu,name,pci_bus_id,gpu_utilization,gpu_memory_utilization,gpu_memory_used,gpu_memory_free,gpu_memory_total
2023-06-22 18:56:56, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,22,6,841,7140,8192
2023-06-22 18:56:57, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,13,869,7112,8192
2023-06-22 18:56:58, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,865,7116,8192
2023-06-22 18:56:59, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,28,15,865,7116,8192
2023-06-22 18:57:00, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,865,7116,8192
2023-06-22 18:57:01, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,37,19,865,7116,8192
2023-06-22 18:57:02, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,26,14,817,7165,8192
2023-06-22 18:57:03, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,27,13,826,7156,8192
2023-06-22 18:57:04, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,26,14,819,7162,8192
2023-06-22 18:57:05, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,34,16,856,7126,8192
2023-06-22 18:57:06, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,17,3,890,7091,8192
2023-06-22 18:57:07, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,26,5,850,7132,8192
2023-06-22 18:57:08, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,10,2,850,7132,8192
2023-06-22 18:57:09, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,6,852,7130,8192
2023-06-22 18:57:10, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,31,15,847,7135,8192
2023-06-22 18:57:11, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,41,18,821,7160,8192
2023-06-22 18:57:12, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,12,3,821,7161,8192
2023-06-22 18:57:13, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,17,4,819,7163,8192
2023-06-22 18:57:14, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,40,19,819,7162,8192
2023-06-22 18:57:15, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,11,2,827,7155,8192
2023-06-22 18:57:16, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,16,7,820,7162,8192
2023-06-22 18:57:17, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,15,820,7162,8192
2023-06-22 18:57:18, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,42,22,820,7162,8192
2023-06-22 18:57:19, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,11,826,7155,8192
2023-06-22 18:57:20, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,18,4,833,7148,8192
2023-06-22 18:57:21, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,23,10,836,7145,8192
2023-06-22 18:57:23, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,25,13,837,7144,8192
2023-06-22 18:57:24, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,7,837,7144,8192
2023-06-22 18:57:25, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,17,4,840,7141,8192
2023-06-22 18:57:26, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,33,10,831,7151,8192
2023-06-22 18:57:27, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,10,2,876,7106,8192
2023-06-22 18:57:28, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,21,7,830,7152,8192
2023-06-22 18:57:29, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,35,17,825,7156,8192
2023-06-22 18:57:30, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,28,8,832,7149,8192
2023-06-22 18:57:31, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,13,3,812,7169,8192
2023-06-22 18:57:32, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,31,8,813,7168,8192
2023-06-22 18:57:33, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,17,4,805,7176,8192
2023-06-22 18:57:34, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,21,8,805,7177,8192
2023-06-22 18:57:35, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,11,770,7211,8192
2023-06-22 18:57:36, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,41,22,770,7212,8192
2023-06-22 18:57:37, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,36,18,765,7217,8192
2023-06-22 18:57:38, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,754,7227,8192
2023-06-22 18:57:39, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,34,17,752,7229,8192
2023-06-22 18:57:40, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,16,752,7229,8192
2023-06-22 18:57:41, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,21,11,752,7229,8192
2023-06-22 18:57:42, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,31,16,752,7230,8192
2023-06-22 18:57:43, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,41,22,557,7425,8192
2023-06-22 18:57:44, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,23,10,563,7419,8192
2023-06-22 18:57:45, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,27,13,563,7419,8192
2023-06-22 18:57:46, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,12,2,619,7363,8192
2023-06-22 18:57:47, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,22,4,580,7402,8192
2023-06-22 18:57:48, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,2,580,7402,8192
2023-06-22 18:57:49, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,34,8,612,7370,8192
2023-06-22 18:57:50, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,11,3,634,7348,8192
2023-06-22 18:57:51, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,9,641,7341,8192
2023-06-22 18:57:52, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,9,659,7323,8192
2023-06-22 18:57:53, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,14,650,7331,8192
2023-06-22 18:57:54, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,33,18,650,7331,8192
2023-06-22 18:57:55, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,2,650,7331,8192
2023-06-22 18:57:56, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,14,5,650,7331,8192
2023-06-22 18:57:57, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,21,10,646,7335,8192
2023-06-22 18:57:58, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,20,609,7372,8192
2023-06-22 18:57:59, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,9,2,609,7372,8192
2023-06-22 18:58:00, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,12,4,609,7373,8192
2023-06-22 18:58:01, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,26,13,609,7373,8192
2023-06-22 18:58:02, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,609,7373,8192
2023-06-22 18:58:03, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,37,20,605,7377,8192
2023-06-22 18:58:04, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,12,605,7377,8192
2023-06-22 18:58:05, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,605,7377,8192
2023-06-22 18:58:06, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,41,23,605,7376,8192
2023-06-22 18:58:07, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,28,15,605,7376,8192
2023-06-22 18:58:08, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,601,7380,8192
2023-06-22 18:58:09, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,31,16,613,7368,8192
2023-06-22 18:58:10, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,613,7368,8192
2023-06-22 18:58:11, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,37,19,613,7369,8192
2023-06-22 18:58:13, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,40,21,613,7369,8192
2023-06-22 18:58:14, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,611,7371,8192
2023-06-22 18:58:15, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,27,14,632,7349,8192
2023-06-22 18:58:16, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,632,7349,8192
2023-06-22 18:58:17, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,13,634,7347,8192
2023-06-22 18:58:18, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,36,19,632,7349,8192
2023-06-22 18:58:19, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,25,14,634,7347,8192
2023-06-22 18:58:20, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,625,7357,8192
2023-06-22 18:58:21, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,17,625,7357,8192
2023-06-22 18:58:22, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,40,21,625,7357,8192
2023-06-22 18:58:23, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,12,625,7357,8192
2023-06-22 18:58:24, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,609,7373,8192
2023-06-22 18:58:25, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,37,20,606,7375,8192
2023-06-22 18:58:26, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,40,21,606,7375,8192
2023-06-22 18:58:27, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,12,606,7375,8192
2023-06-22 18:58:28, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,21,11,604,7377,8192
2023-06-22 18:58:29, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,604,7377,8192
2023-06-22 18:58:30, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,33,17,632,7350,8192
2023-06-22 18:58:31, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,13,632,7349,8192
2023-06-22 18:58:32, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,31,17,632,7349,8192
2023-06-22 18:58:33, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,12,623,7359,8192
2023-06-22 18:58:34, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,632,7349,8192
2023-06-22 18:58:35, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,16,632,7350,8192
2023-06-22 18:58:36, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,21,12,632,7349,8192
2023-06-22 18:58:37, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,8,632,7349,8192
2023-06-22 18:58:38, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,2,623,7359,8192
2023-06-22 18:58:39, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,16,621,7361,8192
2023-06-22 18:58:40, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,41,22,621,7361,8192
2023-06-22 18:58:41, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,21,604,7377,8192
2023-06-22 18:58:42, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,604,7377,8192
2023-06-22 18:58:43, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,13,604,7377,8192
2023-06-22 18:58:44, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,40,21,604,7377,8192
2023-06-22 18:58:45, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,34,18,604,7377,8192
2023-06-22 18:58:47, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,21,11,604,7377,8192
2023-06-22 18:58:48, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,28,14,604,7377,8192
2023-06-22 18:58:49, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,36,19,604,7377,8192
2023-06-22 18:58:50, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,604,7377,8192
2023-06-22 18:58:51, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,15,604,7377,8192
2023-06-22 18:58:52, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,40,21,604,7377,8192
2023-06-22 18:58:53, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,23,12,604,7377,8192
2023-06-22 18:58:54, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,40,21,604,7377,8192
2023-06-22 18:58:55, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,604,7377,8192
2023-06-22 18:58:56, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,25,12,604,7377,8192
2023-06-22 18:58:57, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,604,7377,8192
2023-06-22 18:58:58, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,16,604,7377,8192
2023-06-22 18:58:59, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,604,7377,8192
2023-06-22 18:59:00, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,33,17,612,7369,8192
2023-06-22 18:59:01, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,18,7,612,7369,8192
2023-06-22 18:59:02, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,2,612,7369,8192
2023-06-22 18:59:03, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,15,603,7379,8192
2023-06-22 18:59:04, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,41,22,603,7379,8192
2023-06-22 18:59:05, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,571,7411,8192
2023-06-22 18:59:06, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,33,18,571,7411,8192
2023-06-22 18:59:07, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,571,7411,8192
2023-06-22 18:59:08, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,17,571,7411,8192
2023-06-22 18:59:09, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,571,7411,8192
2023-06-22 18:59:10, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,16,571,7411,8192
2023-06-22 18:59:11, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,571,7411,8192
2023-06-22 18:59:12, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,34,16,571,7411,8192
2023-06-22 18:59:13, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,571,7411,8192
2023-06-22 18:59:14, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,14,571,7411,8192
2023-06-22 18:59:15, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,41,22,572,7409,8192
2023-06-22 18:59:16, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,14,573,7409,8192
2023-06-22 18:59:17, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,16,3,569,7413,8192
2023-06-22 18:59:18, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,12,569,7413,8192
2023-06-22 18:59:19, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,569,7413,8192
2023-06-22 18:59:20, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,568,7413,8192
2023-06-22 18:59:21, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,21,568,7413,8192
2023-06-22 18:59:23, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,11,566,7415,8192
2023-06-22 18:59:24, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,2,566,7415,8192
2023-06-22 18:59:25, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,11,566,7415,8192
2023-06-22 18:59:26, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,40,22,566,7415,8192
2023-06-22 18:59:27, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,566,7415,8192
2023-06-22 18:59:28, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,23,12,566,7415,8192
2023-06-22 18:59:29, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,21,566,7415,8192
2023-06-22 18:59:30, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,566,7415,8192
2023-06-22 18:59:31, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,17,594,7388,8192
2023-06-22 18:59:32, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,18,7,594,7388,8192
2023-06-22 18:59:33, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,2,584,7397,8192
2023-06-22 18:59:34, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,14,584,7397,8192
2023-06-22 18:59:35, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,42,23,584,7397,8192
2023-06-22 18:59:36, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,568,7413,8192
2023-06-22 18:59:37, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,15,568,7413,8192
2023-06-22 18:59:38, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,568,7413,8192
2023-06-22 18:59:39, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,31,14,568,7413,8192
2023-06-22 18:59:40, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,568,7413,8192
2023-06-22 18:59:41, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,21,568,7413,8192
2023-06-22 18:59:42, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,568,7413,8192
2023-06-22 18:59:43, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,568,7413,8192
2023-06-22 18:59:44, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,19,568,7413,8192
2023-06-22 18:59:45, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,21,568,7413,8192
2023-06-22 18:59:46, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,23,6,568,7413,8192
2023-06-22 18:59:47, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,2,568,7413,8192
2023-06-22 18:59:48, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,35,14,568,7413,8192
2023-06-22 18:59:49, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,568,7413,8192
2023-06-22 18:59:50, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,568,7413,8192
2023-06-22 18:59:51, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,568,7413,8192
2023-06-22 18:59:52, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,37,20,568,7413,8192
2023-06-22 18:59:53, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,568,7413,8192
2023-06-22 18:59:54, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,16,3,568,7413,8192
2023-06-22 18:59:55, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,2,568,7413,8192
2023-06-22 18:59:56, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,16,568,7413,8192
2023-06-22 18:59:58, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,568,7413,8192
2023-06-22 18:59:59, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,26,13,568,7413,8192
2023-06-22 19:00:00, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,594,7388,8192
2023-06-22 19:00:01, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,34,17,594,7388,8192
2023-06-22 19:00:02, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,594,7388,8192
2023-06-22 19:00:03, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,35,19,594,7388,8192
2023-06-22 19:00:04, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,629,7352,8192
2023-06-22 19:00:05, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,26,7,630,7352,8192
2023-06-22 19:00:06, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,15,2,627,7354,8192
2023-06-22 19:00:07, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,25,4,675,7306,8192
2023-06-22 19:00:08, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,5,1,671,7311,8192
2023-06-22 19:00:09, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,13,5,662,7319,8192
2023-06-22 19:00:10, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,5,658,7323,8192
2023-06-22 19:00:11, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,13,9,647,7334,8192
2023-06-22 19:00:12, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,21,12,627,7355,8192
2023-06-22 19:00:13, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,8,601,7381,8192
2023-06-22 19:00:14, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,9,7,597,7385,8192
2023-06-22 19:00:15, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,27,13,597,7385,8192
2023-06-22 19:00:16, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,11,7,597,7385,8192
2023-06-22 19:00:17, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,13,598,7383,8192
2023-06-22 19:00:18, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,22,10,598,7383,8192
2023-06-22 19:00:19, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,16,10,596,7386,8192
2023-06-22 19:00:20, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,13,8,596,7386,8192
2023-06-22 19:00:21, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,7,591,7391,8192
2023-06-22 19:00:22, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,7,588,7394,8192
2023-06-22 19:00:23, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,7,588,7394,8192
2023-06-22 19:00:24, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,587,7394,8192
2023-06-22 19:00:25, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,10,8,587,7394,8192
2023-06-22 19:00:26, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,6,6,587,7394,8192
2023-06-22 19:00:27, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,17,9,587,7394,8192
2023-06-22 19:00:28, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,15,9,587,7395,8192
2023-06-22 19:00:29, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,9,7,587,7395,8192
2023-06-22 19:00:30, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,6,6,587,7395,8192
2023-06-22 19:00:31, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,587,7395,8192
2023-06-22 19:00:32, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,7,586,7395,8192
2023-06-22 19:00:33, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,9,7,586,7395,8192
2023-06-22 19:00:34, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,12,586,7395,8192
2023-06-22 19:00:35, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,1,594,7387,8192
2023-06-22 19:00:36, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,1,0,594,7387,8192
2023-06-22 19:00:37, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,4,3,594,7387,8192
2023-06-22 19:00:38, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,3,3,594,7387,8192
2023-06-22 19:00:39, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,10,8,594,7387,8192
2023-06-22 19:00:40, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,6,6,581,7400,8192
2023-06-22 19:00:41, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,584,7398,8192
2023-06-22 19:00:42, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,28,9,603,7378,8192
2023-06-22 19:00:43, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,14,3,600,7382,8192
2023-06-22 19:00:45, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,3,1,604,7378,8192
